1,mohammed@gmail.com,$2a$10$nnv2NnKotsrI.z9afue2hO3jPu1aTrr2XDO1TRcjgpEg4jjMMZVCq,ROLE_ADMIN,Actif,mohammed
2,hamza@gmail.com,$2a$10$nnv2NnKotsrI.z9afue2hO3jPu1aTrr2XDO1TRcjgpEg4jjMMZVCq,ROLE_ADMIN,Actif,hamza
3,omar@gmail.com,$2a$10$nnv2NnKotsrI.z9afue2hO3jPu1aTrr2XDO1TRcjgpEg4jjMMZVCq,ROLE_ADMIN,Actif,omar
4,chadi@gmail.com,$2a$10$nnv2NnKotsrI.z9afue2hO3jPu1aTrr2XDO1TRcjgpEg4jjMMZVCq,ROLE_USER,Actif,chadi
5,houssam@gmail.com,$2a$10$nnv2NnKotsrI.z9afue2hO3jPu1aTrr2XDO1TRcjgpEg4jjMMZVCq,ROLE_USER,Actif,houssam
6,nawal@gmail.com,$2a$10$nnv2NnKotsrI.z9afue2hO3jPu1aTrr2XDO1TRcjgpEg4jjMMZVCq,ROLE_USER,Actif,nawal
7,sofia@gmail.com,$2a$10$nnv2NnKotsrI.z9afue2hO3jPu1aTrr2XDO1TRcjgpEg4jjMMZVCq,ROLE_USER,Actif,sofia
8,ibrahim@gmail.com,$2a$10$nnv2NnKotsrI.z9afue2hO3jPu1aTrr2XDO1TRcjgpEg4jjMMZVCq,ROLE_USER,Actif,ibrahim
9,basma@gmail.com,$2a$10$nnv2NnKotsrI.z9afue2hO3jPu1aTrr2XDO1TRcjgpEg4jjMMZVCq,ROLE_USER,Actif,basma
10,ismail@gmail.com,$2a$10$nnv2NnKotsrI.z9afue2hO3jPu1aTrr2XDO1TRcjgpEg4jjMMZVCq,ROLE_USER,Actif,ismail
